accommod,unit,hotelsize,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
BEDRM,PC,25-99,HU	56.6 	56 	53.8 	50.3 	47.6 	45.2 	: 	: 
BEDRM,PC,25-99,IS	: 	: 	: 	: 	: 	42.2 	40.4 	37 
BEDRM,PC,25-99,LT	56 	56 	53.9 	52.3 	41.6 	49.4 	47.5 	45.4 
BEDRM,PC,25-99,LV	47.4 	46.5 	43.7 	42.3 	41.1 	43.2 	38.3 	37.2 
BEDRM,PC,25-99,MT	73.6 	76.1 	74.6 	69.6 	69 	67.4 	64.6 	57.4 
BEDRM,PC,25-99,NO	: 	: 	: 	47.7 	46 	45 	45.2 	45.3 
BEDRM,PC,25-99,PL	56.6 	55.9 	55.8 	54.9 	50.9 	47.1 	46.5 	45.7 
BEDRM,PC,25-99,RO	: 	: 	: 	: 	: 	41.4 	37 	32.8 
BEDRM,PC,25-99,SE	49 	50 	49.91 	49.77 	47.28 	44.1 	42.7 	42.5 
BEDRM,PC,25-99,UK	: 	: 	: 	68.2 	68.1 	: 	68.6 	: 
BEDRM,PC,GE100,BG	67 	68.3 	67.1 	65.3 	57.9 	58.8 	63 	58.8 
BEDRM,PC,GE100,CY	73.6 	76.6 	80.3 	75.7 	68.8 	68 	: 	: 
BEDRM,PC,GE100,CZ	64.5 	63.4 	63.9 	60.5 	57.1 	61.2 	55.5 	56.1 
BEDRM,PC,GE100,DE	67.89 	67.74 	67.13 	66.85 	65.81 	65 	63.8 	62.8 
BEDRM,PC,GE100,EA	71.23 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,GE100,EL	: 	63.2 	62.4 	59.7 	58.5 	57.6 	55.5 	55.4 
BEDRM,PC,GE100,ES	76.06 	76.29 	77.16 	76.83 	73.04 	70.9 	69.2 	68.2 
BEDRM,PC,GE100,EU27_2007	70.41 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,GE100,EU27_2020	70.25 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,GE100,EU28	70.25 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,GE100,HR	66.3 	66.3 	65.9 	63.7 	61.3 	60.3 	58.9 	: 
BEDRM,PC,GE100,HU	68.9 	68.6 	67.5 	64.4 	62.3 	60.1 	: 	: 
BEDRM,PC,GE100,IS	: 	: 	: 	: 	: 	61.2 	67.4 	56.8 
BEDRM,PC,GE100,LT	61.5 	61.3 	64 	60.2 	56.6 	56.7 	56.5 	53.1 
BEDRM,PC,GE100,LV	58.7 	62.2 	56.3 	53.1 	54.2 	54.8 	50.4 	46.9 
BEDRM,PC,GE100,MT	77.2 	79.4 	78.3 	76 	76 	74.7 	71.9 	65.4 
BEDRM,PC,GE100,NO	: 	: 	: 	58.3 	58.2 	58.1 	57.5 	57.8 
BEDRM,PC,GE100,PL	67.3 	65.9 	67.7 	67.4 	63.8 	57.6 	58.5 	55.4 
BEDRM,PC,GE100,RO	: 	: 	: 	: 	: 	44.2 	42.7 	40.7 
BEDRM,PC,GE100,SE	66 	65 	64.95 	64.72 	62.17 	58.6 	57.5 	57.7 
BEDRM,PC,GE100,UK	: 	: 	: 	78 	78.3 	: 	75.9 	: 
BEDRM,PC,GE250,BG	75.6 	77.8 	76.9 	74.9 	66.3 	67.1 	73 	67.6 
BEDRM,PC,GE250,CY	70.7 	74.2 	76.9 	72.6 	67.4 	65.2 	: 	: 
BEDRM,PC,GE250,CZ	68.5 	66.6 	66.9 	61.8 	59.7 	63.5 	57.9 	59.7 
BEDRM,PC,GE250,DE	70.94 	70.87 	69.85 	68.88 	67.75 	67.2 	66.2 	64.8 
